"DATE";"COUNTY";"VACCINE_COUNT";"NEW_VACCINE_COUNT";"RECIPIENT_COUNT";"NEW_RECIPIENT_COUNT";"RECIP_FULLY_VACC";"NEW_RECIP_FULLY_VACC";"id"
"2020-12-26";"CROCKETT";162;0;"";"";"";"";"20201226_CROCKETT"
"2021-02-17";"TIPTON";6228;22;"4432";"15";"1784";"7";"20210217_TIPTON"
"2021-02-22";"WASHINGTON";37678;224;"22567";"123";"14973";"101";"20210222_WASHINGTON"
"2021-04-10";"DYER";13041;154;"7922";"76";"5260";"95";"20210410_DYER"
"2021-04-14";"MORGAN";11120;215;"7115";"54";"4416";"164";"20210414_MORGAN"
"2021-04-15";"SHELBY";458634;6931;"290545";"3092";"175586";"3826";"20210415_SHELBY"
"2021-04-16";"SEVIER";42185;916;"27307";"351";"16203";"550";"20210416_SEVIER"
"2021-04-27";"OUT OF STATE";134662;1273;"86967";"540";"53188";"723";"20210427_OUT OF STATE"
"2021-05-08";"HARDEMAN";13304;94;"7647";"38";"6078";"57";"20210508_HARDEMAN"
"2021-05-14";"SHELBY";586843;9554;"339380";"3886";"254606";"5641";"20210514_SHELBY"
"2021-05-17";"BLOUNT";93151;110;"50466";"25";"44606";"85";"20210517_BLOUNT"
"2021-05-22";"MADISON";84661;217;"45658";"115";"39797";"108";"20210522_MADISON"
"2021-05-25";"WILLIAMSON";217024;1110;"117802";"558";"102864";"536";"20210525_WILLIAMSON"
"2020-12-18";"FENTRESS";1;0;"";"";"";"";"20201218_FENTRESS"
"2020-12-26";"CUMBERLAND";463;0;"";"";"";"";"20201226_CUMBERLAND"
"2021-01-20";"FRANKLIN";1997;72;"1939";"56";"57";"16";"20210120_FRANKLIN"
"2021-02-23";"WILSON";20908;463;"14543";"191";"6329";"267";"20210223_WILSON"
"2021-03-01";"PICKETT";1415;9;"955";"9";"459";"0";"20210301_PICKETT"
"2021-03-05";"SEQUATCHIE";2542;59;"1687";"34";"852";"25";"20210305_SEQUATCHIE"
"2021-03-06";"SHELBY";178343;5371;"120741";"2558";"56986";"2783";"20210306_SHELBY"
"2021-03-06";"WILSON";30970;1310;"19704";"978";"11140";"329";"20210306_WILSON"
"2021-04-16";"SHELBY";465943;7309;"293379";"2834";"179998";"4412";"20210416_SHELBY"
"2021-05-09";"PUTNAM";51983;89;"28263";"34";"24755";"70";"20210509_PUTNAM"
"2021-05-18";"SEQUATCHIE";5531;21;"3066";"9";"2481";"12";"20210518_SEQUATCHIE"
"2021-05-23";"HICKMAN";13285;20;"7290";"11";"6387";"9";"20210523_HICKMAN"
"2021-05-28";"LAUDERDALE";14193;24;"7852";"6";"6731";"18";"20210528_LAUDERDALE"
"2021-06-02";"UNION";9920;20;"5413";"7";"4704";"12";"20210602_UNION"
"2020-12-26";"DAVIDSON";7228;0;"";"";"";"";"20201226_DAVIDSON"
"2021-01-10";"KNOX";17678;77;"16081";"18";"";"";"20210110_KNOX"
"2021-02-24";"MADISON";24112;687;"14497";"288";"9524";"383";"20210224_MADISON"
"2021-02-27";"MCNAIRY";6441;234;"4237";"118";"2185";"114";"20210227_MCNAIRY"
"2021-03-01";"POLK";3041;25;"2051";"9";"985";"15";"20210301_POLK"
"2021-03-06";"SMITH";3762;90;"2349";"24";"1396";"62";"20210306_SMITH"
"2021-03-12";"GILES";6827;222;"4373";"129";"2450";"93";"20210312_GILES"
"2021-03-13";"UNICOI";7090;61;"4254";"41";"2820";"21";"20210313_UNICOI"
"2021-03-20";"CARTER";17353;224;"10644";"125";"6743";"98";"20210320_CARTER"
"2021-03-22";"PERRY";2690;7;"1741";"4";"940";"2";"20210322_PERRY"
"2021-04-16";"UNICOI";10526;117;"6226";"21";"4416";"96";"20210416_UNICOI"
"2021-04-18";"JACKSON";5901;14;"3609";"9";"2356";"5";"20210418_JACKSON"
